id,name,address,district,subdistrict,risk_level,description,source_type,source_reference,is_verified,data_status,created_by,created_at,updated_at,geom,longitude,latitude
13,"Rawan Banjir Way Halim","Koridor permukiman Way Halim Permai","Way Halim","Way Halim Permai",tinggi,"Area simulasi rawan genangan saat hujan deras dan drainase meluap.",admin_input,"Dataset simulasi pengembangan SIGAP Banjir; lokasi area diverifikasi melalui peta publik OpenStreetMap/Nominatim, tingkat risiko merupakan skenario uji aplikasi.",,simulasi,1,"2026-05-20 17:22:33","2026-06-02 12:35:33",0101000020E61000009000248994515A401CC2E73D848715C0,105.2746909,-5.3823404
14,"Rawan Banjir Teluk Betung Selatan","Sekitar Pesawahan dan akses pesisir","Teluk Betung Selatan",Pesawahan,tinggi,"Area simulasi rawan banjir rob dan genangan hujan intensitas tinggi.",admin_input,"Dataset simulasi pengembangan SIGAP Banjir; lokasi area diverifikasi melalui peta publik OpenStreetMap/Nominatim, tingkat risiko merupakan skenario uji aplikasi.",,simulasi,1,"2026-05-20 17:22:33","2026-06-02 12:29:10",0101000020E6100000FFB27BF2B0505A4061545227A0C915C0,105.2608,-5.4469
15,"Rawan Banjir Panjang Utara","Koridor akses Pelabuhan Panjang",Panjang,"Panjang Utara",tinggi,"Area simulasi rawan genangan pada akses jalan rendah.",admin_input,"Dataset simulasi pengembangan SIGAP Banjir; lokasi area diverifikasi melalui peta publik OpenStreetMap/Nominatim, tingkat risiko merupakan skenario uji aplikasi.",,simulasi,1,"2026-05-20 17:22:33","2026-06-02 12:35:33",0101000020E610000037514B73AB545A405262D7F676E315C0,105.3229645,-5.4721335
16,"Rawan Banjir Rajabasa","Permukiman sekitar Rajabasa",Rajabasa,Rajabasa,sedang,"Area simulasi dengan potensi limpasan saat hujan deras.",admin_input,"Dataset simulasi pengembangan SIGAP Banjir; lokasi area diverifikasi melalui peta publik OpenStreetMap/Nominatim, tingkat risiko merupakan skenario uji aplikasi.",,simulasi,1,"2026-05-20 17:22:33","2026-06-02 12:35:33",0101000020E61000006EBE11DDB34E5A40E827E66A757315C0,105.229728,-5.3627526
17,"Rawan Banjir Sukarame","Area Sukarame",Sukarame,Sukarame,tinggi,"Area simulasi rawan genangan pada permukiman padat.",admin_input,"Dataset simulasi pengembangan SIGAP Banjir; lokasi area diverifikasi melalui peta publik OpenStreetMap/Nominatim, tingkat risiko merupakan skenario uji aplikasi.",,simulasi,1,"2026-05-20 17:22:33","2026-06-02 12:35:33",0101000020E6100000AD68739CDB525A4022B0CD21049715C0,105.294654,-5.3974767
18,"Rawan Banjir Kedamaian","Koridor Kedamaian dan sekitarnya",Kedamaian,Kedamaian,sedang,"Area simulasi rawan genangan lokal di jalan penghubung.",admin_input,"Dataset simulasi pengembangan SIGAP Banjir; lokasi area diverifikasi melalui peta publik OpenStreetMap/Nominatim, tingkat risiko merupakan skenario uji aplikasi.",,simulasi,1,"2026-05-20 17:22:33","2026-06-02 12:29:10",0101000020E61000006EA301BC05525A4017D9CEF753A315C0,105.2816,-5.4095
19,"Rawan Banjir Labuhan Ratu","Area Labuhan Ratu Raya","Labuhan Ratu","Labuhan Ratu Raya",sedang,"Area simulasi dengan potensi genangan pada titik rendah.",admin_input,"Dataset simulasi pengembangan SIGAP Banjir; lokasi area diverifikasi melalui peta publik OpenStreetMap/Nominatim, tingkat risiko merupakan skenario uji aplikasi.",,simulasi,1,"2026-05-20 17:22:33","2026-06-02 12:29:10",0101000020E6100000E4839ECDAA4F5A40AA8251499D8015C0,105.2448,-5.3756
20,"Rawan Banjir Tanjung Karang Timur","Koridor jalan permukiman Tanjung Karang Timur","Tanjung Karang Timur","Kota Baru",sedang,"Area simulasi rawan limpasan dari saluran perkotaan.",admin_input,"Dataset simulasi pengembangan SIGAP Banjir; lokasi area diverifikasi melalui peta publik OpenStreetMap/Nominatim, tingkat risiko merupakan skenario uji aplikasi.",,simulasi,1,"2026-05-20 17:22:33","2026-06-02 12:29:10",0101000020E6100000BDE3141DC9515A40984C158C4AAA15C0,105.2779,-5.4163
21,"Rawan Banjir Bumi Waras","Area Bumi Waras dekat pesisir","Bumi Waras","Bumi Waras",tinggi,"Area simulasi rawan genangan pesisir dan drainase padat.",admin_input,"Dataset simulasi pengembangan SIGAP Banjir; lokasi area diverifikasi melalui peta publik OpenStreetMap/Nominatim, tingkat risiko merupakan skenario uji aplikasi.",,simulasi,1,"2026-05-20 17:22:33","2026-06-02 12:35:33",0101000020E6100000A668401853515A4028BDCA3560CB15C0,105.2706967,-5.4486092
22,"Rawan Banjir Enggal","Area pusat kota Enggal",Enggal,Enggal,rendah,"Area simulasi rawan genangan ringan saat hujan puncak.",admin_input,"Dataset simulasi pengembangan SIGAP Banjir; lokasi area diverifikasi melalui peta publik OpenStreetMap/Nominatim, tingkat risiko merupakan skenario uji aplikasi.",,simulasi,1,"2026-05-20 17:22:33","2026-06-02 12:29:10",0101000020E61000005BB1BFEC9E505A40772D211FF4AC15C0,105.2597,-5.4189
