id,post_id,post_name,equipment_type_id,equipment_type_name,quantity,available_quantity,status,notes
16,7,"Pos Alat Berat Panjang",4,pompa_air,3,2,tersedia,"Prioritas genangan wilayah Panjang dan Bumi Waras."
17,7,"Pos Alat Berat Panjang",2,dump_truck,2,1,digunakan,"Satu unit diasumsikan sedang mendukung pembersihan material."
18,7,"Pos Alat Berat Panjang",1,excavator,1,1,tersedia,"Standby untuk pembersihan sedimentasi."
19,8,"Pos Alat Berat Teluk Betung",4,pompa_air,2,2,tersedia,"Standby untuk genangan pesisir Teluk Betung."
20,8,"Pos Alat Berat Teluk Betung",6,pickup_operasional,2,1,tersedia,"Kendaraan lapangan untuk petugas."
21,9,"Pos Alat Berat Rajabasa",1,excavator,1,1,tersedia,"Dukungan pembukaan akses dan material."
22,9,"Pos Alat Berat Rajabasa",3,wheel_loader,1,0,perawatan,"Unit sedang perawatan berkala."
23,9,"Pos Alat Berat Rajabasa",2,dump_truck,2,2,tersedia,"Dukungan angkut material."
24,10,"Pos Alat Berat Way Halim",2,dump_truck,3,2,tersedia,"Respons area perkotaan dan jalan utama."
25,10,"Pos Alat Berat Way Halim",4,pompa_air,2,1,digunakan,"Satu unit diasumsikan sedang dipakai."
26,11,"Pos Alat Berat Sukarame",6,pickup_operasional,2,2,tersedia,"Mobilitas petugas wilayah Sukarame."
27,11,"Pos Alat Berat Sukarame",5,mobil_tangki,1,1,tersedia,"Dukungan air bersih pascabanjir."
28,11,"Pos Alat Berat Sukarame",4,pompa_air,2,2,tersedia,"Dukungan genangan Korpri dan Kedamaian."
29,12,"Pos Alat Berat Kemiling",6,pickup_operasional,1,0,tidak_aktif,"Pos tidak aktif pada skenario demo."
30,12,"Pos Alat Berat Kemiling",3,wheel_loader,1,0,tidak_aktif,"Unit tidak tersedia karena pos tidak aktif."
